link,url,latitude,longitude,isNotObservatory,Type
Kemalpasa,/wiki/Kemalpa%C5%9Fa,38.42778,27.41611,TRUE,
Elginfield Observatory,/wiki/Elginfield_Observatory,43.1924,-81.3158,FALSE,Visible
"Middlesex Centre, Ontario","/wiki/Middlesex_Centre,_Ontario",43.05,-81.45,TRUE,
Sterling Hill Mining Museum,/wiki/Sterling_Hill_Mining_Museum,41.08306,-74.60667,FALSE,Visible
Embry-Riddle Observatory,/wiki/Embry-Riddle_Observatory,29.188183,-81.048313,FALSE,Visible
Eskdalemuir Observatory,/wiki/Eskdalemuir_Observatory,55.31222,-3.20611,FALSE,Visible
European Gravitational Observatory,/wiki/European_Gravitational_Observatory,43.631494,10.501847,FALSE,Gravitational
Cascina,/wiki/Cascina,43.683,10.55,TRUE,
European Southern Observatory,/wiki/European_Southern_Observatory,48.26,11.67111,FALSE,Visible
La Silla Observatory,/wiki/La_Silla_Observatory,-29.25,-70.73,FALSE,Visible
New Technology Telescope,/wiki/New_Technology_Telescope,-29.25892,-70.73375,FALSE,Visible
Llano de Chajnantor Observatory,/wiki/Llano_de_Chajnantor_Observatory,-23.0228,-67.755,FALSE,Visible
Very Large Telescope,/wiki/Very_Large_Telescope,-24.62733,-70.40417,FALSE,Visible
Paranal Observatory,/wiki/Paranal_Observatory,-24.62722,-70.40417,FALSE,Visible
European Extremely Large Telescope,/wiki/European_Extremely_Large_Telescope,-24.5978,-70.1961,FALSE,Visible
Atacama Desert,/wiki/Atacama_Desert,-24.5,-69.25,TRUE,
Chile,/wiki/Chile,-30,-71,TRUE,
Fabra Observatory,/wiki/Fabra_Observatory,41.41833,2.12417,FALSE,Visible
,/wiki/File:FuertesObservatoryCornell.jpg,42.453012,-76.474153,TRUE,
,/wiki/File:FuertesObservatoryCornell.jpg,42.453012,-76.474153,TRUE,
Fuertes Observatory,/wiki/Fuertes_Observatory,42.45278,-76.4744889,FALSE,Visible
Fabra Observatory,/wiki/Fabra_Observatory,41.41833,2.12417,FALSE,Visible
Barcelona,/wiki/Barcelona,41.383,2.183,TRUE,
Fan Mountain Observatory,/wiki/Fan_Mountain_Observatory,37.8781528,-78.6930333,FALSE,Visible
Five-hundred-meter Aperture Spherical Radio Telescope,/wiki/Five_hundred_meter_Aperture_Spherical_Telescope,25.6532,106.8567,FALSE,Radio
Félix Aguilar Observatory,/wiki/F%C3%A9lix_Aguilar_Observatory,-31.8023,-69.3265,FALSE,Visible
Fernbank Observatory,/wiki/Fernbank_Observatory,33.77889,-84.31806,FALSE,Visible
Fick Observatory,/wiki/Fick_Observatory,42.005611,-93.943944,FALSE,Visible
"Boone, Iowa","/wiki/Boone,_Iowa",42.06111,-93.88611,TRUE,
Five College Radio Astronomy Observatory,/wiki/Five_College_Radio_Astronomy_Observatory,42.391925,-72.3440972,FALSE,Visible
"New Salem, Massachusetts","/wiki/New_Salem,_Massachusetts",42.50417,-72.3325,TRUE,
Flarestar Observatory,/wiki/Flarestar_Observatory,35.91028,14.46972,FALSE,Visible
Foggy Bottom Observatory,/wiki/Foggy_Bottom_Observatory,42.8165095,-75.5325682,FALSE,Visible
Foothill Observatory,/wiki/Foothill_Observatory,37.363125,-122.1315139,FALSE,Visible
Ford Observatory,/wiki/Clinton_B._Ford_Observatory,42.4175333,-76.494075,FALSE,Visible
Fox Observatory,/wiki/Fox_Observatory,26.129306,-80.359917,FALSE,Visible
Fox Park Public Observatory,/wiki/Fox_Park_Public_Observatory,42.640136,-84.747447,FALSE,Visible
Francis Marion University Observatory,/wiki/Francis_Marion_University_Observatory,34.185111,-79.651778,FALSE,Visible
Fred Lawrence Whipple Observatory,/wiki/Fred_Lawrence_Whipple_Observatory,31.6811,-110.878,FALSE,Visible
"Mount Hopkins, Arizona",/wiki/Mount_Hopkins_(Arizona),31.6884218,-110.8853648,TRUE,
Fremont Peak Observatory,/wiki/Fremont_Peak_Observatory,36.760222,-121.498722,FALSE,Visible
Frosty Drew Observatory,/wiki/Frosty_Drew_Observatory,41.36722,-71.66361,FALSE,Visible
"Charlestown, Rhode Island","/wiki/Charlestown,_Rhode_Island",41.38528,-71.66806,TRUE,
Fuertes Observatory,/wiki/Fuertes_Observatory,42.45278,-76.4744889,FALSE,Visible
Griffith Observatory,/wiki/Griffith_Observatory,34.11856,-118.30037,FALSE,Visible
Caltech,/wiki/Caltech,34.138,-118.125,TRUE,
JPL,/wiki/JPL,34.201694,-118.17167,TRUE,
Gaocheng Astronomical Observatory,/wiki/Gaocheng_Astronomical_Observatory,34.49611,113.09722,FALSE,Radio
Dengfeng,/wiki/Dengfeng,34.45528,113.02528,TRUE,
Henan,/wiki/Henan,33.9,113.5,TRUE,
Gauribidanur Radio Observatory,/wiki/Gauribidanur_Radio_Observatory,13.6,77.43,FALSE,Radio
Gemini Observatory,/wiki/Gemini_Observatory,19.82396,-155.46984,FALSE,Visible
La Serena,"/wiki/La_Serena,_Chile",-29.9,-71.25,FALSE,Visible
Chile,/wiki/Chile,-30,-71,TRUE,
Giant Meterwave Radio Telescope (GMRT),/wiki/Giant_Meterwave_Radio_Telescope,19.096517,74.049742,FALSE,Radio
Gifford Observatory,/wiki/Gifford_Observatory,-41.3051,174.7831,FALSE,Visible
Girawali Observatory,/wiki/Girawali_Observatory,19.083,73.667,FALSE,Visible
Glen D. Riley Observatory,/wiki/Glen_D._Riley_Observatory,41.7007,-88.1588,FALSE,Visible
Godlee Observatory,/wiki/Godlee_Observatory,53.4761444,-2.2326444,FALSE,Visible
Goodsell Observatory,/wiki/Goodsell_Observatory,44.46194,-93.1525,FALSE,Visible
Goethe Link Observatory,/wiki/Goethe_Link_Observatory,39.55,-86.395,FALSE,Visible
"Brooklyn, Indiana","/wiki/Brooklyn,_Indiana",39.54139,-86.37,TRUE,
Goldendale Observatory,/wiki/Goldendale_Observatory_State_Park,45.83889,-120.81528,FALSE,Visible
